receiving_rate,received_packets_num,received_bytes,queuing_delay,delay,mini_seen_delay,delay_ratio,delay_avg_mini_diff,pkt_received_interval,pkt_received_jitter,pkt_loss_ratio,pkt_loss_num
0.0,0,0,0,3000,3000,1,0,0,0,0.0,0
3487600.0,22,26157,0,3000,3000,1,0,2.090909264304421,1.6302965823169555,0.0,0
1437600.0,9,10782,0,3000,3000,1,0,2.3333231608072915,1.802711102054427,0.0,0
1109866.6666666667,7,8324,0,3000,3000,1,0,5.571399416242327,7.524523034965297,0.0,0
1793600.0,12,13452,0,3000,3000,1,0,4.916667938232422,6.570694873744354,0.0,0
1226133.3333333335,9,9196,0,3000,3000,1,0,8.333312140570747,12.04161444499105,0.0,0
0.0,0,0,0,3000,3000,1,0,0,0,0.0,0
3321466.666666667,21,24911,0,3000,3000,1,0,2.380961463564918,1.9099036011475472,0.0,0
1681466.6666666667,11,12611,0,3000,3000,1,0,10.545448823408648,27.075318795602172,0.0,0
1522000.0,10,11415,0,3000,3000,1,0,3.8000106811523438,4.315350050053216,0.0,0
2286400.0,15,17148,0,3000,3000,1,0,6.066672007242839,12.736172698011915,0.0,0
2617600.0,17,19632,0,3000,3000,1,0,3.4705891328699447,3.4481612634694603,0.0,0
3894666.666666667,25,29210,0,3000,3000,1,0,2.1199989318847656,1.6911723325122914,0.0,0
3680000.0,23,27600,0,3000,3000,1,0,2.3043466650921363,1.690488468058973,0.0,0
3736800.0,24,28026,0,3000,3000,1,0,2.1666685740152993,1.5228020243600593,0.0,0
8048933.333333334,51,60367,0.9999990463256836,20.000052452087402,19.00005340576172,1.0526313808161423,0.9999990463256843,2.0588192285275926,1.5021485828362198,0.0,0
7903866.666666667,50,59279,0.8890893724229585,19.888904359605576,18.999814987182617,1.0467946331594673,0.8890893724229597,1.960000991821289,1.5112958818807158,0.0,0
8245333.333333334,52,61840,1.1112954881456147,20.111110475328232,18.999814987182617,1.058489805763651,1.1112954881456159,1.846153002518874,1.3916243276572797,0.0,0
8705200.0,55,65289,0.6668567657470703,19.666671752929688,18.999814987182617,1.0350980662810103,0.6668567657470703,1.7999995838512075,1.4194601590696643,0.0,0
9671333.333333334,61,72535,1.333501603868271,20.333316591050888,18.999814987182617,1.0701849783678345,1.333501603868272,1.7541002054683499,1.2994364392766895,0.0,0
9990533.333333334,66,74929,1.500248908996582,20.5000638961792,18.999814987182617,1.078947698639763,1.5000104904174805,1.590909379901308,1.2022752477648981,0.0,0
10162533.333333334,65,76219,1.3638192957097814,20.3636342828924,18.999814987182617,1.071780661897488,1.3638192957097819,1.5384600712702823,0.9854636437392709,0.0,0
10668400.0,67,80013,1.0771201207087593,20.076935107891376,18.999814987182617,1.0566910846992663,1.0771201207087597,1.477611598683827,0.9270191242458286,0.0,0
10899200.0,69,81744,1.5002012252807617,20.50001621246338,18.999814987182617,1.0789451889775636,1.4999628067016608,1.420290573783543,0.7746930814669312,0.0,0
11796533.333333334,75,88474,1.7693959749661943,20.76921096214881,18.999814987182617,1.0384615384615383,0.7692300356351399,1.3466676076253254,0.6258813419155095,0.0,0
