receiving_rate,received_packets_num,received_bytes,queuing_delay,delay,mini_seen_delay,delay_ratio,delay_avg_mini_diff,pkt_received_interval,pkt_received_jitter,pkt_loss_ratio,pkt_loss_num
3514533.3333333335,22,26359,2000,3000,1000,3.0,2000,1.9090934233231978,3.3933904284899805,0.0,0
7453466.666666667,48,55901,3.9090459997003744,19.909078424627133,16.000032424926758,1.2443148798630181,3.9090459997003744,2.291664481163025,4.462419762839578,0.0,0
3901066.666666667,25,29258,2983.9999675750732,3000,16.000032424926758,3.0,2000,1.960000991821289,3.984112238085216,0.0,0
3561600.0,23,26712,2983.9999675750732,3000,16.000032424926758,3.0,2000,2.000000165856403,3.9427725332549945,0.0,0
3894133.3333333335,25,29206,2983.9999675750732,3000,16.000032424926758,3.0,2000,2.279996871948242,4.015830766900474,0.0,0
10043466.666666668,63,75326,8.809487024943035,24.809519449869793,16.000032424926758,1.5505918232527183,8.809487024943035,1.6031757233634827,2.225525067825335,0.0,0
3431333.3333333335,22,25735,2983.9999675750732,3000,16.000032424926758,3.0,2000,1.8181800842285156,3.186831884128275,0.0,0
3983333.3333333335,25,29875,2983.9999675750732,3000,16.000032424926758,3.0,2000,2.440004348754883,4.407179660490388,0.0,0
4741066.666666667,30,35558,2983.9999675750732,3000,16.000032424926758,3.0,2000,1.6666650772094727,2.733370794289252,0.0,0
4113466.666666667,26,30851,2983.9999675750732,3000,16.000032424926758,3.0,2000,1.8076896667480469,3.322909109058342,0.0,0
7258133.333333334,47,54436,2.2858210972377218,18.28561510358538,15.999794006347656,1.1428656579160243,2.2858210972377218,2.2340429590103477,4.26927398545382,0.0,0
4417733.333333334,28,33133,2984.0002059936523,3000,15.999794006347656,3.0,2000,1.785712582724435,3.201328209180516,0.0,0
3734533.3333333335,24,28009,2984.0002059936523,3000,15.999794006347656,3.0,2000,1.875003178914388,3.4554387595366616,0.0,0
4089200.0,26,30669,2984.0002059936523,3000,15.999794006347656,3.0,2000,2.4230755292452297,4.455814878903048,0.0,0
5687600.0,36,42657,12.125253677368164,28.12504768371582,15.999794006347656,1.1718804327309935,4.125118255615234,1.6388893127441406,2.6635296447396,0.0,0
3128000.0,20,23460,2984.0002059936523,3000,15.999794006347656,3.0,2000,2.05000638961792,4.00620016440047,0.0,0
3190000.0,20,23925,2984.0002059936523,3000,15.999794006347656,3.0,2000,2.950000762939453,5.500893247132619,0.0,0
4701733.333333334,30,35263,2984.0002059936523,3000,15.999794006347656,3.0,2000,1.833327611287435,3.454963426893745,0.0,0
3865733.3333333335,25,28993,2984.0002059936523,3000,15.999794006347656,3.0,2000,1.9199943542480469,3.785052027458818,0.0,0
7606400.0,49,57048,0.666777292887371,15.666643778483074,14.999866485595703,1.0444522151932267,0.666777292887371,2.0612259300387636,3.613647805281413,0.0,0
6094133.333333334,38,45706,2985.0001335144043,3000,14.999866485595703,3.0,2000,1.3421083751477692,0.8784593207237676,0.0,0
3697333.3333333335,23,27730,2985.0001335144043,3000,14.999866485595703,3.0,2000,2.043475275454314,4.150368734801713,0.0,0
7204266.666666667,46,54032,1.6001224517822252,16.59998893737793,14.999866485595703,1.106675779635693,1.6001224517822252,2.282609110293181,4.2513359020615225,0.0,0
5259200.0,33,39444,2985.0001335144043,3000,14.999866485595703,3.0,2000,1.6666614648067588,2.780135594132529,0.0,0
3660533.3333333335,23,27454,2985.0001335144043,3000,14.999866485595703,3.0,2000,2.608703530353049,5.466739060217094,0.0,0
4625866.666666667,29,34694,2985.0001335144043,3000,14.999866485595703,3.0,2000,1.758616546104694,2.9599100516143926,0.0,0
4398533.333333334,28,32989,2985.0001335144043,3000,14.999866485595703,3.0,2000,1.785712582724435,3.2128749804017827,0.0,0
2957466.666666667,19,22181,2985.0001335144043,3000,14.999866485595703,3.0,2000,2.157901462755705,4.336702895127501,0.0,0
9070266.666666668,58,68027,5.916873613993328,20.91674009958903,14.999866485595703,1.3944395878036504,5.9166351954142264,1.913794155778556,3.2995532558233163,0.0,0
4866666.666666667,31,36500,2985.0001335144043,3000,14.999866485595703,3.0,2000,1.6129016876220703,2.5123137866785252,0.0,0
3314266.666666667,21,24857,2985.0001335144043,3000,14.999866485595703,3.0,2000,1.7619019462948753,2.60586031505061,0.0,0
9049200.0,57,67869,6.7334969838460275,21.73336346944173,14.999866485595703,1.358352705092289,5.733569463094074,2.035086615043774,3.70791616116527,0.0,0
5194266.666666667,33,38957,2985.0001335144043,3000,14.999866485595703,3.0,2000,1.515157294995857,2.0934642381459403,0.0,0
5004266.666666667,32,37532,2985.0001335144043,3000,14.999866485595703,3.0,2000,1.3124942779541016,0.7803266100513716,0.0,0
4217200.0,27,31629,2985.0001335144043,3000,14.999866485595703,3.0,2000,2.185185750325521,3.752290949200163,0.0,0
5056933.333333334,32,37927,2985.0001335144043,3000,14.999866485595703,3.0,2000,1.5624985098838806,2.1241698166638674,0.0,0
7081600.0,45,53112,0.0,14.999866485595703,14.999866485595703,1.0,0.0,2.2444460127088757,4.107400271418299,0.0,0
4428400.0,28,33213,2985.0001335144043,3000,14.999866485595703,3.0,2000,1.8214327948434013,3.1978219870510136,0.0,0
4282000.0,27,32115,2985.0001335144043,3000,14.999866485595703,3.0,2000,1.8518500857883031,3.644846265602123,0.0,0
3284000.0,21,24630,2985.0001335144043,3000,14.999866485595703,3.0,2000,2.000002633957636,3.4640983128882703,0.0,0
7750000.0,49,58125,5.182006142356179,20.181872627951883,14.999866485595703,1.2613644830188064,4.181840203025124,2.2448958182821466,4.342301126914976,0.0,0
